name of bidder,url,direction of activity,created date
b'\xd0\x90\xd0\x90\xd0\x97\xd0\xad \xd0\xba\xd0\xbe\xd0\xbd\xd1\x81\xd1\x82\xd1\x80\xd0\xb0\xd0\xba\xd1\x88\xd0\xbd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523731800,No data,2020-06-02
b'\xd0\x90\xd0\x90\xd0\xa8\xd0\xa2\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1613990003209,No data,2021-02-26
b'\xd0\x90\xd0\x91 \xd1\x8d\xd0\xbb\xd0\xba\xd0\xbe\xd0\xbc \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1615358175889,No data,2021-03-10
b'\xd0\x90\xd0\x91\xd0\x90\xd0\x90 \xd1\x85\xd0\xb0\xd1\x80\xd0\xb0\xd0\xb0\xd1\x82 \xd1\x83\xd1\x83\xd0\xbb \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1570642855613,No data,2019-10-10
b'\xd0\x90\xd0\x91\xd0\x91\xd0\x95\xd0\x9b \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246995541,No data,2018-02-01
b'\xd0\x90\xd0\x91\xd0\x91\xd0\xad \xd1\x82\xd1\x80\xd0\xb0\xd0\xbc\xd0\xbf \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1656013498851,No data,2022-06-26
b'\xd0\x90\xd0\x91\xd0\x9c\xd0\x90\xd0\x94\xd0\x98 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589514692054,No data,2020-07-17
b'\xd0\x90\xd0\x91\xd0\x9c\xd0\x94 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523811757,No data,2020-03-19
b'\xd0\x90\xd0\x91\xd0\x9e\xd0\x9d\xd0\x9a \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523556788,No data,2018-09-23
b'\xd0\x90\xd0\x91\xd0\x9e\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1515639534312,No data,2018-01-19
b'\xd0\x90\xd0\x91\xd0\xa3\xd0\x9a\xd0\x90 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246996842,No data,2019-11-07
b'\xd0\x90\xd0\x91\xd0\xa3\xd0\x9d\xd0\x90 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246998848,No data,2020-04-20
b'\xd0\x90\xd0\x91\xd0\xa6\xd0\x94 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523620640,No data,2019-02-25
b'\xd0\x90\xd0\x92\xd0\x92\xd0\x9a\xd0\x9d\xd0\xa1\xd0\xa2 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523637474,No data,2017-07-05
b'\xd0\x90\xd0\x92\xd0\x95\xd0\xa0\xd0\x90 \xd0\xb0\xd1\x83\xd0\xb4\xd0\xb8\xd1\x82 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1530251351670,No data,2018-07-09
b'\xd0\x90\xd0\x93\xd0\x91\xd0\x91\xd0\x93 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523752269,No data,2019-01-30
b'\xd0\x90\xd0\x93\xd0\x9d\xd0\xad\xd0\x9b \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523820402,No data,2019-02-13
b'\xd0\x90\xd0\x93\xd0\xa0\xd0\x9e \xd0\x9a\xd0\x95\xd0\xa0\xd0\x95\xd0\x99 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1652659379382,No data,2022-05-17
b'\xd0\x90\xd0\x94\xd0\x96\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474281409881,No data,2018-04-15
b'\xd0\x90\xd0\x95 \xd0\xbb\xd0\xbe\xd0\xb6\xd0\xb8\xd1\x81\xd1\x82\xd0\xb8\xd0\xba \xd0\xb3\xd1\x80\xd1\x83\xd0\xbf\xd0\xbf \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1638947024815,No data,2021-12-12
b'\xd0\x90\xd0\x95\xd0\xa1\xd0\x9d \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523630395,No data,2017-05-10
b'\xd0\x90\xd0\x96\xd0\x91\xd0\x98\xd0\x94 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1515635445437,No data,2018-01-12
b'\xd0\x90\xd0\x96\xd0\xa3\xd0\x94\xd0\xa1 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618539661847,No data,2021-04-28
b'\xd0\x90\xd0\x96\xd0\xad\xd0\x94 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523641651,No data,2018-03-12
b'\xd0\x90\xd0\x97\xd0\x97\xd2\xae \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523702329,No data,2017-06-06
b'\xd0\x90\xd0\x97\xd0\xa3\xd0\xa0\xd0\xad \xd1\x8d\xd0\xbd\xd0\xb5\xd1\x80\xd0\xb6\xd0\xb8 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523787716,No data,2019-07-31
b'\xd0\x90\xd0\x97\xd0\xa3\xd0\xa5\xd0\x90\xd0\x9d \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523662717,No data,2018-10-05
b'\xd0\x90\xd0\x97\xd0\xa5\xd0\x90 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1565510974624,No data,2019-08-13
b'\xd0\x90\xd0\x99 \xd0\xa2\xd0\x98 \xd0\x9a\xd0\xad\xd0\x99\xd0\xa0 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1587573422970,No data,2020-05-05
b'\xd0\x90\xd0\x99 \xd0\xa4\xd0\x90\xd0\x99 \xd0\x9f\xd0\xa0\xd0\x9e\xd0\x94\xd0\x90\xd0\x9a\xd0\xa8\xd0\x9d \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836886232,No data,2019-11-13
b'\xd0\x90\xd0\x9a \xd0\xbc\xd0\xb0\xd1\x80\xd1\x82 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572837647494,No data,2019-12-13
b'\xd0\x90\xd0\x9a\xd0\xa8\xd0\xa3\xd0\xa1 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474281442220,No data,2017-06-12
b'\xd0\x90\xd0\x9b\xd0\x92\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246996003,No data,2017-04-07
b'\xd0\x90\xd0\x9b\xd0\xa2\xd0\x90\xd0\x99\xd0\x9d \xd0\x98\xd0\xa0\xd0\x93\xd0\xad\xd0\x9d\xd0\x98\xd0\x99 \xd0\x97\xd3\xa8\xd0\x92\xd0\x9b\xd3\xa8\xd0\x9b \xd0\xa2\xd3\xa9\xd1\x80\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb1\xd1\x83\xd1\x81 \xd0\xb1\xd0\xb0\xd0\xb9\xd0\xb3\xd1\x83\xd1\x83\xd0\xbb\xd0\xbb\xd0\xb0\xd0\xb3\xd0\xb0',https://www.tender.gov.mn/en/bidder/entity/1587573420493,No data,2020-05-05
b'\xd0\x90\xd0\x9b\xd0\xa2\xd0\x90\xd0\x9d \xd0\x91\xd0\x9e\xd0\xa1\xd0\x93\xd0\x9e\xd0\xa2 \xd3\xa8\xd0\xa0\xd0\x93\xd3\xa8\xd3\xa8 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516199445,No data,2020-09-03
b'\xd0\x90\xd0\x9b\xd0\xa2\xd0\x95\xd0\x9a \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523706298,No data,2019-04-02
b'\xd0\x90\xd0\x9c\xd0\x90\xd0\x94\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523619698,No data,2019-04-08
b'\xd0\x90\xd0\x9c\xd0\x95 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474281399405,No data,2018-04-09
b'\xd0\x90\xd0\x9c\xd0\x95\xd0\xa2\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474365926061,No data,2018-10-13
b'\xd0\x90\xd0\x9c\xd0\x9c \xd1\x83\xd0\xbd\xd0\xb4\xd1\x80\xd0\xb0\xd0\xbc \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474281443569,No data,2018-05-15
b'\xd0\x90\xd0\x9c\xd0\x9c\xd0\x9e \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523825042,No data,2019-11-28
b'\xd0\x90\xd0\x9c\xd0\x9f\xd0\xa0\xd0\xa2 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583991087797,No data,2020-03-25
b'\xd0\x90\xd0\x9c\xd0\xa1\xd0\x9e\xd3\xa8\xd0\xa0 \xd0\x91\xd0\x91\xd0\x9d',https://www.tender.gov.mn/en/bidder/entity/1634698380134,No data,2021-10-22
